arch,mask_variant,split,bin,bin_lo,bin_hi,n,n_events,mean_pred,obs_freq,obs_lo_wilson,obs_hi_wilson
efficientnet_b0,gt,train,1,0.131727999,0.2866501,60,8,0.23076955000000002,0.13333333333333333,0.0691410948058697,0.24165159676499615
efficientnet_b0,gt,train,2,0.2866501,0.351956,60,14,0.3179588333333333,0.23333333333333334,0.1443956173664283,0.35436270377601964
efficientnet_b0,gt,train,3,0.351956,0.4024279,60,19,0.37617078333333337,0.31666666666666665,0.2130586755236652,0.44233767026176773
efficientnet_b0,gt,train,4,0.4024279,0.45368480000000005,60,32,0.4272805666666667,0.5333333333333333,0.4089342702715789,0.6537209395856151
efficientnet_b0,gt,train,5,0.45368480000000005,0.5086825,60,31,0.4793449333333334,0.5166666666666667,0.39307810032592494,0.6382495046026722
efficientnet_b0,gt,train,6,0.5086825,0.5839962000000001,60,37,0.54608235,0.6166666666666667,0.49017595824099924,0.7291172762591798
efficientnet_b0,gt,train,7,0.5839962000000001,0.6935045,60,45,0.6475287000000002,0.75,0.6276792992295218,0.8422347746994333
efficientnet_b0,gt,train,8,0.6935045,0.8158400000000001,60,52,0.7556837666666667,0.8666666666666667,0.7583484032350039,0.9308589051941303
efficientnet_b0,gt,train,9,0.8158400000000001,0.9149741,60,55,0.8651553833333333,0.9166666666666666,0.8193105798166558,0.9638795433982692
efficientnet_b0,gt,train,10,0.9149741,0.991741001,60,59,0.95378675,0.9833333333333333,0.9114487027240993,0.9970518402052136
efficientnet_b0,gt,internal_val,1,0.144676999,0.2939798,26,1,0.24348453846153847,0.038461538461538464,0.006821984993543487,0.18892778903034757
efficientnet_b0,gt,internal_val,2,0.2939798,0.346218,26,2,0.32312703846153845,0.07692307692307693,0.0213550884722762,0.2414155377162906
efficientnet_b0,gt,internal_val,3,0.346218,0.39162220000000003,25,4,0.37060392,0.16,0.06403451456676443,0.3465362160717885
efficientnet_b0,gt,internal_val,4,0.39162220000000003,0.4629754,26,9,0.42600888461538455,0.34615384615384615,0.1941223032294052,0.5377942881118918
efficientnet_b0,gt,internal_val,5,0.4629754,0.542571,26,17,0.4979494615384615,0.6538461538461539,0.46220571188810816,0.8058776967705947
efficientnet_b0,gt,internal_val,6,0.542571,0.6440184,25,21,0.59586496,0.84,0.6534637839282114,0.9359654854332355
efficientnet_b0,gt,internal_val,7,0.6440184,0.7172608,26,25,0.6805111538461539,0.9615384615384616,0.8110722109696524,0.9931780150064564
efficientnet_b0,gt,internal_val,8,0.7172608,0.814543,25,24,0.76450732,0.96,0.8045593626380625,0.9929037664980127
efficientnet_b0,gt,internal_val,9,0.814543,0.9006440000000001,26,26,0.8545927307692308,1.0,0.8712710781407846,1.0
efficientnet_b0,gt,internal_val,10,0.9006440000000001,0.978678001,26,26,0.9407618846153846,1.0,0.8712710781407846,1.0
