arch,mask_variant,split,threshold,n_total,n_malignant,n_benign,tp,fp,tn,fn,metric,numerator,denominator,denominator_n,estimate,wilson_lo,wilson_hi,delong_lo,delong_hi,delong_logit_lo,delong_logit_hi,delong_se,boot_lo,boot_hi,whole_cohort_wilson_lo,whole_cohort_wilson_hi
efficientnet_b0,gt,external_test2,0.5483,94,67,27,55,6,21,12,ppv,55.0,test-positive cases,61.0,0.9016393442622951,0.8015539278317405,0.9541354241845295,,,,,,0.835820895522388,0.9649122807017544,0.8247910403166839,0.9469492590556817
efficientnet_b0,gt,external_test2,0.5483,94,67,27,55,6,21,12,npv,21.0,test-negative cases,33.0,0.6363636363636364,0.466161783022664,0.7781282176475764,,,,,,0.5135135135135135,0.7777777777777778,0.5355419024196654,0.7264775313190043
efficientnet_b0,model,train,0.5,600,352,248,247,70,178,105,AUC,,352 malignant vs 248 benign,,0.7974191257331378,,,0.7625162568395719,0.8323219946267036,0.7602736564890544,0.830095192881366,0.017807913394774232,0.762346785648827,0.8293418369684751,,
efficientnet_b0,model,train,0.5,600,352,248,247,70,178,105,AUPRC,,352 malignant vs 248 benign,,0.8547835439411653,,,,,,,,0.8262701624233784,0.881083817251208,,
efficientnet_b0,model,train,0.5,600,352,248,247,70,178,105,accuracy,425.0,all cases,600.0,0.7083333333333334,0.6707303505563436,0.7432856073546146,,,,,,0.6716666666666666,0.7433333333333333,0.6707303505563436,0.7432856073546146
efficientnet_b0,model,train,0.5,600,352,248,247,70,178,105,sensitivity,247.0,malignant cases,352.0,0.7017045454545454,0.6519414710613197,0.7471126483507545,,,,,,0.6534090909090909,0.7471590909090909,0.6639076959616759,0.7369350269248425
efficientnet_b0,model,train,0.5,600,352,248,247,70,178,105,specificity,178.0,benign cases,248.0,0.717741935483871,0.6587321027893007,0.7701091233762996,,,,,,0.6612903225806451,0.7741935483870968,0.6804300517759849,0.7522834010083712
efficientnet_b0,model,train,0.5,600,352,248,247,70,178,105,ppv,247.0,test-positive cases,317.0,0.7791798107255521,0.7303262464952637,0.8213480933814866,,,,,,0.7448649529294691,0.8155403679100663,0.7442715931574353,0.8105359113238739
efficientnet_b0,model,train,0.5,600,352,248,247,70,178,105,npv,178.0,test-negative cases,283.0,0.6289752650176679,0.5713169989941356,0.6831789873954492,,,,,,0.5874112875971612,0.6691456801855942,0.589615510166446,0.6666940157204793
efficientnet_b0,model,internal_val,0.5,257,155,102,131,8,94,24,AUC,,155 malignant vs 102 benign,,0.9397216951296647,,,0.9115585504200253,0.9678848398393042,0.904600774476841,0.9624496757662787,0.01436921542017442,0.9098655913978495,0.9651533839342189,,
efficientnet_b0,model,internal_val,0.5,257,155,102,131,8,94,24,AUPRC,,155 malignant vs 102 benign,,0.9647202105134444,,,,,,,,0.9472644101137793,0.9793544552878717,,
efficientnet_b0,model,internal_val,0.5,257,155,102,131,8,94,24,accuracy,225.0,all cases,257.0,0.8754863813229572,0.829509168659479,0.9104038837846525,,,,,,0.8326848249027238,0.914396887159533,0.829509168659479,0.9104038837846525
efficientnet_b0,model,internal_val,0.5,257,155,102,131,8,94,24,sensitivity,131.0,malignant cases,155.0,0.8451612903225807,0.7799410071816497,0.8936866514561712,,,,,,0.7870967741935484,0.896774193548387,0.7958842340757158,0.8842718424464694
efficientnet_b0,model,internal_val,0.5,257,155,102,131,8,94,24,specificity,94.0,benign cases,102.0,0.9215686274509803,0.8528127275871086,0.95972331413254,,,,,,0.8627450980392157,0.9705882352941176,0.8821482969846755,0.9485719247526094
efficientnet_b0,model,internal_val,0.5,257,155,102,131,8,94,24,ppv,131.0,test-positive cases,139.0,0.9424460431654677,0.890543439626562,0.970551098440284,,,,,,0.9057873090481786,0.9774436090225563,0.9069251946949831,0.9649349276001463
efficientnet_b0,model,internal_val,0.5,257,155,102,131,8,94,24,npv,94.0,test-negative cases,118.0,0.7966101694915254,0.7151769904138203,0.8593400966067339,,,,,,0.7364232558139535,0.8558558558558559,0.7431989530778217,0.8412849238638628
efficientnet_b0,model,external_test1,0.5,108,62,46,53,8,38,9,AUC,,62 malignant vs 46 benign,,0.8846423562412341,,,0.8203578005527477,0.9489269119297206,0.8033264366582493,0.9350557266130329,0.03279884538468809,0.8151998597475455,0.9421458625525946,,
efficientnet_b0,model,external_test1,0.5,108,62,46,53,8,38,9,AUPRC,,62 malignant vs 46 benign,,0.9097017764655515,,,,,,,,0.8564603384414458,0.9562937734310532,,
efficientnet_b0,model,external_test1,0.5,108,62,46,53,8,38,9,accuracy,91.0,all cases,108.0,0.8425925925925926,0.7623129098457861,0.899337973290832,,,,,,0.7685185185185185,0.9074074074074074,0.7623129098457861,0.899337973290832
