arch,split,case_ids_identical_across_variants,n_total,n_malignant,n_benign,threshold_gt,threshold_model,auc_gt,auc_model,auc_diff_model_minus_gt,auc_diff_delong_p,auc_diff_delong_95ci_lo,auc_diff_delong_95ci_hi,auprc_gt,auprc_model,accuracy_gt,accuracy_model,accuracy_diff_model_minus_gt,accuracy_denom_n_gt,accuracy_denom_n_model,accuracy_gt_wilson_lo,accuracy_gt_wilson_hi,accuracy_model_wilson_lo,accuracy_model_wilson_hi,sensitivity_gt,sensitivity_model,sensitivity_diff_model_minus_gt,sensitivity_denom_n_gt,sensitivity_denom_n_model,sensitivity_gt_wilson_lo,sensitivity_gt_wilson_hi,sensitivity_model_wilson_lo,sensitivity_model_wilson_hi,specificity_gt,specificity_model,specificity_diff_model_minus_gt,specificity_denom_n_gt,specificity_denom_n_model,specificity_gt_wilson_lo,specificity_gt_wilson_hi,specificity_model_wilson_lo,specificity_model_wilson_hi,ppv_gt,ppv_model,ppv_diff_model_minus_gt,ppv_denom_n_gt,ppv_denom_n_model,ppv_gt_wilson_lo,ppv_gt_wilson_hi,ppv_model_wilson_lo,ppv_model_wilson_hi,npv_gt,npv_model,npv_diff_model_minus_gt,npv_denom_n_gt,npv_denom_n_model,npv_gt_wilson_lo,npv_gt_wilson_hi,npv_model_wilson_lo,npv_model_wilson_hi,auc_diff_boot_lo,auc_diff_boot_hi,accuracy_diff_boot_lo,accuracy_diff_boot_hi,sensitivity_diff_boot_lo,sensitivity_diff_boot_hi,specificity_diff_boot_lo,specificity_diff_boot_hi,tp_gt,fp_gt,tn_gt,fn_gt,tp_model,fp_model,tn_model,fn_model
efficientnet_b0,train,True,600,352,248,0.426287,0.467051,0.8326670179618768,0.7974191257331378,-0.03524789222873903,4.228810575144091e-06,-0.05026691112410576,-0.020228873333372525,0.879800134298868,0.8547835439411653,0.755,0.7233333333333334,-0.03166666666666662,600,600,0.7190355577019193,0.7877199747810933,0.6862035019339724,0.7576216049465748,0.8494318181818182,0.7642045454545454,-0.08522727272727282,352,352,0.8083107058517859,0.8830084024254697,0.7171547609420643,0.805549930682202,0.6209677419354839,0.6653225806451613,0.04435483870967738,248,248,0.5591761892926199,0.6790689363549358,0.6044670720065842,0.7211345997117419,0.7608142493638677,0.7642045454545454,0.003390296090677758,393,352,0.7162429466443362,0.8003361441825264,0.7171547609420643,0.805549930682202,0.7439613526570048,0.6653225806451613,-0.07863877201184355,207,248,0.6804377912563987,0.7985951302806004,0.6044670720065842,0.7211345997117419,-0.05089680512280059,-0.020584992439516198,-0.05999999999999994,-0.0033333333333332993,-0.11931818181818177,-0.051136363636363646,0.0,0.09677419354838712,299,94,154,53,269,83,165,83
efficientnet_b0,internal_val,True,257,155,102,0.426287,0.467051,0.9454142947501581,0.9397216951296647,-0.005692599620493399,0.5454061646760968,-0.024144828121906287,0.012759628880919267,0.9646030967973609,0.9647202105134444,0.8871595330739299,0.8832684824902723,-0.0038910505836575737,257,257,0.8426400998917136,0.9202754308667431,0.8382500462866237,0.9169979917003913,0.9419354838709677,0.8838709677419355,-0.058064516129032184,155,155,0.8933406283506057,0.9691545981295947,0.823906677570482,0.9252680082042908,0.803921568627451,0.8823529411764706,0.07843137254901955,102,102,0.7164524743574987,0.8693293231613177,0.8055457610425986,0.931405532610106,0.8795180722891566,0.9194630872483222,0.03994501495916558,166,149,0.821230911055624,0.9206374223589007,0.8645097721380501,0.9533311524676464,0.9010989010989011,0.8333333333333334,-0.06776556776556775,91,108,0.8226142190849851,0.9470913601808583,0.7518731501613105,0.8918952766743182,-0.024796015180265644,0.012462049335863359,-0.042898832684824965,0.035019455252918275,-0.10322580645161283,-0.01935483870967747,0.0,0.1568627450980392,146,20,82,9,137,12,90,18
efficientnet_b0,external_test1,True,108,62,46,0.426287,0.467051,0.9025245441795231,0.8846423562412342,-0.017882187938288885,0.26881384395494423,-0.049577340003757076,0.013812964127179306,0.9278879926176296,0.9097017764655515,0.8333333333333334,0.8518518518518519,0.01851851851851849,108,108,0.7518731501613105,0.8918952766743182,0.7728286547321882,0.9067046847054198,0.9354838709677419,0.9032258064516129,-0.032258064516129004,62,62,0.8455248427224711,0.9746270944795592,0.8045118138769257,0.9548881279768061,0.6956521739130435,0.782608695652174,0.08695652173913049,46,46,0.5519435355159235,0.8092015919723277,0.6442631262842105,0.8773909467543746,0.8055555555555556,0.8484848484848485,0.04292929292929293,72,66,0.6996724105411147,0.8804852062054944,0.7430709513021234,0.9155636301732872,0.8888888888888888,0.8571428571428571,-0.031746031746031744,36,42,0.7468519140963513,0.9559335969968435,0.7215891052555522,0.9328403298403735,-0.05259467040673205,0.013323983169705511,-0.04629629629629628,0.07407407407407407,-0.09677419354838712,0.032258064516129004,-0.021739130434782705,0.19565217391304357,58,14,32,4,56,10,36,6
efficientnet_b0,external_test2,True,94,67,27,0.426287,0.467051,0.8529574350469873,0.8518518518518519,-0.001105583195135429,0.960925053243108,-0.04533461934800104,0.043123452957730624,0.9370456192555977,0.9392311999749495,0.776595744680851,0.776595744680851,0.0,94,94,0.6824912052295027,0.848980837673047,0.6824912052295027,0.848980837673047,0.8656716417910447,0.8507462686567164,-0.01492537313432829,67,67,0.7639962773866296,0.927689083357045,0.7465960395409149,0.9168572656622017,0.5555555555555556,0.5925925925925926,0.03703703703703698,27,27,0.3731302451322448,0.72414141822977,0.4072670096806468,0.7548524292560443,0.8285714285714286,0.8382352941176471,0.009663865546218453,70,68,0.7238335196785457,0.8991227535947075,0.733099723993876,0.9071990777719586,0.625,0.6153846153846154,-0.009615384615384581,24,26,0.42709962442674276,0.7884063244045122,0.4253485008511553,0.7757140556428721,-0.047540077390823665,0.043670536207849664,-0.07446808510638292,0.07446808510638292,-0.07462686567164178,0.04477611940298509,-0.1481481481481482,0.22222222222222227,58,12,15,9,57,11,16,10
