mask_variant,split,accuracy_used_max_acc,accuracy_youden,accuracy_delta_youden_minus_used,accuracy_fixed05,sensitivity_used_max_acc,sensitivity_youden,sensitivity_delta_youden_minus_used,sensitivity_fixed05,specificity_used_max_acc,specificity_youden,specificity_delta_youden_minus_used,specificity_fixed05
gt,train,0.755,0.7416666666666667,-0.013333333333333308,0.7416666666666667,0.8494318181818182,0.7102272727272727,-0.13920454545454553,0.7102272727272727,0.6209677419354839,0.7862903225806451,0.16532258064516125,0.7862903225806451
gt,internal_val,0.8871595330739299,0.8754863813229572,-0.011673151750972721,0.8715953307392996,0.9419354838709677,0.8451612903225807,-0.09677419354838701,0.8451612903225807,0.803921568627451,0.9215686274509803,0.11764705882352933,0.9117647058823529
gt,external_test1,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.9354838709677419,0.8548387096774194,-0.08064516129032251,0.8548387096774194,0.6956521739130435,0.8043478260869565,0.10869565217391308,0.8043478260869565
gt,external_test2,0.776595744680851,0.8191489361702128,0.042553191489361764,0.8191489361702128,0.8656716417910447,0.8507462686567164,-0.01492537313432829,0.8507462686567164,0.5555555555555556,0.7407407407407407,0.18518518518518512,0.7407407407407407
model,train,0.7233333333333334,0.7083333333333334,-0.015000000000000013,0.7083333333333334,0.7642045454545454,0.7017045454545454,-0.0625,0.7017045454545454,0.6653225806451613,0.717741935483871,0.05241935483870974,0.717741935483871
model,internal_val,0.8832684824902723,0.8754863813229572,-0.0077821011673151474,0.8754863813229572,0.8838709677419355,0.8451612903225807,-0.03870967741935483,0.8451612903225807,0.8823529411764706,0.9215686274509803,0.039215686274509776,0.9215686274509803
model,external_test1,0.8518518518518519,0.8425925925925926,-0.0092592592592593,0.8425925925925926,0.9032258064516129,0.8548387096774194,-0.048387096774193505,0.8548387096774194,0.782608695652174,0.8260869565217391,0.04347826086956519,0.8260869565217391
model,external_test2,0.776595744680851,0.776595744680851,0.0,0.776595744680851,0.8507462686567164,0.7910447761194029,-0.059701492537313494,0.7910447761194029,0.5925925925925926,0.7407407407407407,0.14814814814814814,0.7407407407407407
