arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model_AT_pt_0.50,net_benefit_model_AT_pt_0.50_boot_lo,net_benefit_model_AT_pt_0.50_boot_hi,net_benefit_treat_all_AT_pt_0.50_correct,net_benefit_treat_all_AT_pt_0.50_WRONG_flat,incremental_nb_vs_treat_all_AT_pt_0.50,net_true_positives_per_100_vs_treat_all_AT_pt_0.50,mean_net_benefit_over_pt_0.01_0.80_NOT_the_same_thing,pt_range_where_model_beats_both_references
densenet121,gt,train,600,352,248,0.5866666666666667,0.5,334,63,185,18,0.45166666666666666,0.42500000000000004,0.4766666666666667,0.17333333333333334,0.5866666666666667,0.2783333333333333,27.833333333333332,0.4629469320594769,0.01-0.80
densenet121,gt,internal_val,257,155,102,0.603112840466926,0.5,146,32,70,9,0.44357976653696496,0.4007782101167315,0.4863813229571984,0.20622568093385207,0.603112840466926,0.23735408560311289,23.73540856031129,0.46035994282926784,0.01-0.80
densenet121,gt,external_test1,108,62,46,0.5740740740740741,0.5,57,17,29,5,0.37037037037037035,0.29629629629629634,0.43518518518518523,0.14814814814814814,0.5740740740740741,0.2222222222222222,22.22222222222222,0.3964204546561049,0.01-0.80
densenet121,gt,external_test2,94,67,27,0.7127659574468085,0.5,63,15,12,4,0.5106382978723405,0.44680851063829785,0.574468085106383,0.42553191489361697,0.7127659574468085,0.08510638297872353,8.510638297872353,0.5407642980924025,0.19-0.80
densenet121,model,train,600,352,248,0.5866666666666667,0.5,303,81,167,49,0.37,0.33666666666666667,0.4033333333333333,0.17333333333333334,0.5866666666666667,0.19666666666666666,19.666666666666664,0.3940634225740183,0.01-0.80
densenet121,model,internal_val,257,155,102,0.603112840466926,0.5,140,22,80,15,0.45914396887159525,0.4124513618677043,0.49815175097276215,0.20622568093385207,0.603112840466926,0.2529182879377432,25.291828793774318,0.45845552420812685,0.01-0.80
densenet121,model,external_test1,108,62,46,0.5740740740740741,0.5,54,12,34,8,0.3888888888888889,0.31481481481481477,0.4537037037037038,0.14814814814814814,0.5740740740740741,0.24074074074074076,24.074074074074076,0.41880797729471675,0.01-0.80
densenet121,model,external_test2,94,67,27,0.7127659574468085,0.5,59,9,18,8,0.5319148936170213,0.45744680851063824,0.6063829787234043,0.42553191489361697,0.7127659574468085,0.1063829787234043,10.63829787234043,0.5475007814740944,0.34-0.80
