mask_variant,split,auc_sklearn,auc_delong_impl,abs_diff
gt,train,0.9402149010263929,0.9402149010263929,0.0
gt,internal_val,0.9026565464895635,0.9026565464895637,2.220446049250313e-16
gt,external_test1,0.8783309957924264,0.8783309957924262,1.1102230246251565e-16
gt,external_test2,0.8772802653399668,0.877280265339967,1.1102230246251565e-16
model,train,0.8607381781524927,0.8607381781524928,1.1102230246251565e-16
model,internal_val,0.905629348513599,0.9056293485135991,1.1102230246251565e-16
model,external_test1,0.8892005610098177,0.8892005610098176,1.1102230246251565e-16
model,external_test2,0.8645660585959093,0.8645660585959092,1.1102230246251565e-16
