quantity,mask_variant,threshold,point_estimate,numerator,correct_denominator,whole_cohort_denominator,wilson_on_whole_cohort_lo,wilson_on_whole_cohort_hi,wilson_on_correct_denom_lo,wilson_on_correct_denom_hi,implied_whole_cohort_numerator_round,ci_on_cohort_n,ci_on_class_n,expected_fraction,fraction_matches
internal_val sensitivity,gt,0.5483,0.9354838709677419,145,155,257,0.8985749551174349,0.9595658890927987,0.8853221143360734,0.964581940954635,240,0.86-0.93,0.846-0.940,140/155,False
internal_val sensitivity,model,0.5,0.9032258064516129,140,155,257,0.8609205257933427,0.9336543299568737,0.8464739490540437,0.9404742502892048,232,0.86-0.93,0.846-0.940,140/155,True
external_test2 specificity,gt,0.5483,0.48148148148148145,13,27,94,0.3832005605701837,0.58121655336654,0.3074322697621846,0.6601438424504771,45,0.57-0.75,0.478-0.814,18/27,False
external_test2 specificity,model,0.5,0.6666666666666666,18,27,94,0.5664868533277122,0.7537591212417728,0.47824760507320074,0.8135673850128435,63,0.57-0.75,0.478-0.814,18/27,True
