arch,mask_variant,split,threshold,n_total,n_malignant,n_benign,tp,fp,tn,fn,metric,numerator,denominator,denominator_n,estimate,wilson_lo,wilson_hi,delong_lo,delong_hi,delong_logit_lo,delong_logit_hi,delong_se,boot_lo,boot_hi,whole_cohort_wilson_lo,whole_cohort_wilson_hi
densenet121,gt,train,0.5483,600,352,248,331,59,189,21,AUC,,352 malignant vs 248 benign,,0.9402149010263929,,,0.922543795005238,0.9578860070475479,0.9198993408544137,0.955626464633569,0.009016036090735542,0.9213125458211143,0.9568035763379765,,
densenet121,gt,train,0.5483,600,352,248,331,59,189,21,AUPRC,,352 malignant vs 248 benign,,0.9586983517150729,,,,,,,,0.9455166299619426,0.9705797953091782,,
densenet121,gt,train,0.5483,600,352,248,331,59,189,21,accuracy,520.0,all cases,600.0,0.8666666666666667,0.8371206082599051,0.8915474776633813,,,,,,0.84,0.8916666666666667,0.8371206082599051,0.8915474776633813
densenet121,gt,train,0.5483,600,352,248,331,59,189,21,sensitivity,331.0,malignant cases,352.0,0.9403409090909091,0.9105229401644365,0.9606515458760075,,,,,,0.9147727272727273,0.9630681818181818,0.9184414750750569,0.9566377086912863
densenet121,gt,train,0.5483,600,352,248,331,59,189,21,specificity,189.0,benign cases,248.0,0.7620967741935484,0.7053587713561178,0.8108390008802528,,,,,,0.7096774193548387,0.8104838709677419,0.7264265966694249,0.7944321890895224
densenet121,gt,train,0.5483,600,352,248,331,59,189,21,ppv,331.0,test-positive cases,390.0,0.8487179487179487,0.8097649843762078,0.8808682486370656,,,,,,0.8213399503722084,0.8772845953002611,0.817833551971723,0.8751654668084652
densenet121,gt,train,0.5483,600,352,248,331,59,189,21,npv,189.0,test-negative cases,210.0,0.9,0.8519683553183302,0.9336604040742433,,,,,,0.8617511520737328,0.9368932038834952,0.8733923087771034,0.9215183304119361
densenet121,gt,internal_val,0.5483,257,155,102,145,26,76,10,AUC,,155 malignant vs 102 benign,,0.9026565464895637,,,0.8641007616329016,0.9412123313462258,0.8567191023958315,0.934983647738224,0.019671680276160817,0.8600853889943074,0.9392172675521822,,
densenet121,gt,internal_val,0.5483,257,155,102,145,26,76,10,AUPRC,,155 malignant vs 102 benign,,0.9268780429744485,,,,,,,,0.8935758981094306,0.9563087356756816,,
densenet121,gt,internal_val,0.5483,257,155,102,145,26,76,10,accuracy,221.0,all cases,257.0,0.8599221789883269,0.812170696239278,0.8970723851190864,,,,,,0.8171206225680934,0.8988326848249028,0.812170696239278,0.8970723851190864
densenet121,gt,internal_val,0.5483,257,155,102,145,26,76,10,sensitivity,145.0,malignant cases,155.0,0.9354838709677419,0.8853221143360734,0.964581940954635,,,,,,0.896774193548387,0.9741935483870968,0.8985749551174349,0.9595658890927987
densenet121,gt,internal_val,0.5483,257,155,102,145,26,76,10,specificity,76.0,benign cases,102.0,0.7450980392156863,0.6527012596010672,0.8197034158173332,,,,,,0.6470588235294118,0.8333333333333334,0.6884778959629412,0.7944989771401316
densenet121,gt,internal_val,0.5483,257,155,102,145,26,76,10,ppv,145.0,test-positive cases,171.0,0.847953216374269,0.7865389175839125,0.894077686753841,,,,,,0.8033684840670473,0.8930919950876409,0.7989538757424428,0.8867038184944105
densenet121,gt,internal_val,0.5483,257,155,102,145,26,76,10,npv,76.0,test-negative cases,86.0,0.8837209302325582,0.7990278882092989,0.9355995417807128,,,,,,0.8202247191011236,0.9459815078236129,0.8387598259948299,0.9173797809190969
densenet121,gt,external_test1,0.5483,108,62,46,56,17,29,6,AUC,,62 malignant vs 46 benign,,0.8783309957924262,,,0.8140162575974805,0.942645733987372,0.7981692668218088,0.9294680850946451,0.03281424490564735,0.8071265778401122,0.9358432678821879,,
densenet121,gt,external_test1,0.5483,108,62,46,56,17,29,6,AUPRC,,62 malignant vs 46 benign,,0.9076275210131661,,,,,,,,0.8506131765293138,0.9536556988360757,,
densenet121,gt,external_test1,0.5483,108,62,46,56,17,29,6,accuracy,85.0,all cases,108.0,0.7870370370370371,0.7006656475723132,0.853690497758367,,,,,,0.7129629629629629,0.8518518518518519,0.7006656475723132,0.853690497758367
densenet121,gt,external_test1,0.5483,108,62,46,56,17,29,6,sensitivity,56.0,malignant cases,62.0,0.9032258064516129,0.8045118138769257,0.9548881279768061,,,,,,0.8225806451612904,0.967741935483871,0.8328598548585268,0.9458922743781207
densenet121,gt,external_test1,0.5483,108,62,46,56,17,29,6,specificity,29.0,benign cases,46.0,0.6304347826086957,0.48600096423389705,0.7547624540916037,,,,,,0.4782608695652174,0.7608695652173914,0.5363859949459824,0.7155233894679593
densenet121,gt,external_test1,0.5483,108,62,46,56,17,29,6,ppv,56.0,test-positive cases,73.0,0.7671232876712328,0.6583273395609572,0.8492111767366657,,,,,,0.7,0.838756428237494,0.6790802570814862,0.8368163589443256
densenet121,gt,external_test1,0.5483,108,62,46,56,17,29,6,npv,29.0,test-negative cases,35.0,0.8285714285714286,0.6731771770095504,0.9189735994629841,,,,,,0.7142857142857143,0.9375,0.7465321332959645,0.8880396017277268
densenet121,gt,external_test2,0.5483,94,67,27,63,14,13,4,AUC,,67 malignant vs 27 benign,,0.877280265339967,,,0.8088161929031882,0.9457443377767457,0.7910047403557456,0.9310450509728672,0.034931291073108835,0.8054173576561637,0.9392067440574902,,
densenet121,gt,external_test2,0.5483,94,67,27,63,14,13,4,AUPRC,,67 malignant vs 27 benign,,0.9524891550856232,,,,,,,,0.9233652484465562,0.9769201577775074,,
densenet121,gt,external_test2,0.5483,94,67,27,63,14,13,4,accuracy,76.0,all cases,94.0,0.8085106382978723,0.7174971706384233,0.8752985695221128,,,,,,0.7340425531914894,0.8723404255319149,0.7174971706384233,0.8752985695221128
densenet121,gt,external_test2,0.5483,94,67,27,63,14,13,4,sensitivity,63.0,malignant cases,67.0,0.9402985074626866,0.8563049895862846,0.9765406488601809,,,,,,0.8805970149253731,0.9850746268656716,0.8729824271620836,0.973040520581183
densenet121,gt,external_test2,0.5483,94,67,27,63,14,13,4,specificity,13.0,benign cases,27.0,0.48148148148148145,0.3074322697621846,0.6601438424504771,,,,,,0.2962962962962963,0.6666666666666666,0.3832005605701837,0.58121655336654
densenet121,gt,external_test2,0.5483,94,67,27,63,14,13,4,ppv,63.0,test-positive cases,77.0,0.8181818181818182,0.7176371712788386,0.8884874671777944,,,,,,0.7654320987654321,0.8784189189189188,0.7282509672495135,0.8831277114740489
densenet121,gt,external_test2,0.5483,94,67,27,63,14,13,4,npv,13.0,test-negative cases,17.0,0.7647058823529411,0.5273820188043501,0.9044495567791988,,,,,,0.5714285714285714,0.9411764705882353,0.6696225490757277,0.8390034105346309
densenet121,model,train,0.5,600,352,248,303,81,167,49,AUC,,352 malignant vs 248 benign,,0.8607381781524928,,,0.8318846691952337,0.8895916871097518,0.8293070068941275,0.8871690983300677,0.014721448549489573,0.8317511684384165,0.8879000756048387,,
densenet121,model,train,0.5,600,352,248,303,81,167,49,AUPRC,,352 malignant vs 248 benign,,0.898676725578935,,,,,,,,0.8717604069565088,0.9227833348361975,,
densenet121,model,train,0.5,600,352,248,303,81,167,49,accuracy,470.0,all cases,600.0,0.7833333333333333,0.7486223270376837,0.8144393757212192,,,,,,0.75,0.8166666666666667,0.7486223270376837,0.8144393757212192
densenet121,model,train,0.5,600,352,248,303,81,167,49,sensitivity,303.0,malignant cases,352.0,0.8607954545454546,0.820723869000361,0.8930771614972931,,,,,,0.8210227272727273,0.8948863636363636,0.830795136450661,0.8862052270224073
densenet121,model,train,0.5,600,352,248,303,81,167,49,specificity,167.0,benign cases,248.0,0.6733870967741935,0.6127613240869637,0.7287233560078662,,,,,,0.6129032258064516,0.7298387096774194,0.6348622803726969,0.7097058394370681
densenet121,model,train,0.5,600,352,248,303,81,167,49,ppv,303.0,test-positive cases,384.0,0.7890625,0.7454960241946053,0.8269028128844252,,,,,,0.7592568353694008,0.8210574038723752,0.7546315251091738,0.8198156164922805
densenet121,model,train,0.5,600,352,248,303,81,167,49,npv,167.0,test-negative cases,216.0,0.7731481481481481,0.7128098833209908,0.8239405578059602,,,,,,0.724134030269933,0.8202792939913203,0.7379620104569005,0.8048589121374667
densenet121,model,internal_val,0.5,257,155,102,140,22,80,15,AUC,,155 malignant vs 102 benign,,0.9056293485135991,,,0.8686885172898808,0.9425701797373174,0.8616623068184385,0.9366499707356629,0.018847709200323495,0.866285578747628,0.9397343453510435,,
densenet121,model,internal_val,0.5,257,155,102,140,22,80,15,AUPRC,,155 malignant vs 102 benign,,0.9330994787403784,,,,,,,,0.9016654451658151,0.961196466590564,,
densenet121,model,internal_val,0.5,257,155,102,140,22,80,15,accuracy,220.0,all cases,257.0,0.8560311284046692,0.8078634758967922,0.8937121126901302,,,,,,0.8093385214007782,0.8950389105058361,0.8078634758967922,0.8937121126901302
densenet121,model,internal_val,0.5,257,155,102,140,22,80,15,sensitivity,140.0,malignant cases,155.0,0.9032258064516129,0.8464739490540437,0.9404742502892048,,,,,,0.8516129032258064,0.9483870967741935,0.8609205257933427,0.9336543299568737
densenet121,model,internal_val,0.5,257,155,102,140,22,80,15,specificity,80.0,benign cases,102.0,0.7843137254901961,0.6949614254678732,0.8530279980174712,,,,,,0.696078431372549,0.8627450980392157,0.7300380074894738,0.8302151653100905
densenet121,model,internal_val,0.5,257,155,102,140,22,80,15,ppv,140.0,test-positive cases,162.0,0.8641975308641975,0.8029444927922917,0.9085784330134938,,,,,,0.8176344537815126,0.9084967320261438,0.8169155284877706,0.900752328878721
densenet121,model,internal_val,0.5,257,155,102,140,22,80,15,npv,80.0,test-negative cases,95.0,0.8421052631578947,0.7557039468613879,0.9019148375589726,,,,,,0.7756961663169941,0.9069767441860465,0.7925297483642564,0.8816042871459271
densenet121,model,external_test1,0.5,108,62,46,54,12,34,8,AUC,,62 malignant vs 46 benign,,0.8892005610098176,,,0.8268838825954063,0.9515172394242288,0.8100125414424407,0.9379124158469146,0.031794807917878705,0.819758064516129,0.9435659186535763,,
densenet121,model,external_test1,0.5,108,62,46,54,12,34,8,AUPRC,,62 malignant vs 46 benign,,0.9095791903064644,,,,,,,,0.8516690413235269,0.9556961932334216,,
densenet121,model,external_test1,0.5,108,62,46,54,12,34,8,accuracy,88.0,all cases,108.0,0.8148148148148148,0.7312030524810644,0.8768004617525846,,,,,,0.7407407407407407,0.8796296296296297,0.7312030524810644,0.8768004617525846
densenet121,model,external_test1,0.5,108,62,46,54,12,34,8,sensitivity,54.0,malignant cases,62.0,0.8709677419354839,0.7655067270982637,0.9331412194071697,,,,,,0.7903225806451613,0.9516129032258065,0.7948035103234529,0.9216484485742628
densenet121,model,external_test1,0.5,108,62,46,54,12,34,8,specificity,34.0,benign cases,46.0,0.7391304347826086,0.597408464719844,0.843991135543574,,,,,,0.6086956521739131,0.8695652173913043,0.6491232690878228,0.8127106023377368
densenet121,model,external_test1,0.5,108,62,46,54,12,34,8,ppv,54.0,test-positive cases,66.0,0.8181818181818182,0.7085480732292817,0.8928139359439193,,,,,,0.7464788732394366,0.896551724137931,0.7349415563902392,0.8795646692255882
densenet121,model,external_test1,0.5,108,62,46,54,12,34,8,npv,34.0,test-negative cases,42.0,0.8095238095238095,0.6669922598996131,0.9001799171835226,,,,,,0.7073170731707317,0.9091577540106948,0.725345107250041,0.8724398605258998
densenet121,model,external_test2,0.5,94,67,27,59,9,18,8,AUC,,67 malignant vs 27 benign,,0.8645660585959092,,,0.7891934789033094,0.939938638288509,0.770305589158095,0.9239628545231051,0.03845610444229033,0.7816196793808734,0.9331122166943063,,
densenet121,model,external_test2,0.5,94,67,27,59,9,18,8,AUPRC,,67 malignant vs 27 benign,,0.9449476600029101,,,,,,,,0.9085484370141516,0.9748020946956969,,
densenet121,model,external_test2,0.5,94,67,27,59,9,18,8,accuracy,77.0,all cases,94.0,0.8191489361702128,0.7293303791966494,0.8839065933832155,,,,,,0.7446808510638298,0.8936170212765957,0.7293303791966494,0.8839065933832155
densenet121,model,external_test2,0.5,94,67,27,59,9,18,8,sensitivity,59.0,malignant cases,67.0,0.8805970149253731,0.7816797416192777,0.9382376746649551,,,,,,0.7910447761194029,0.9552238805970149,0.7996877752619691,0.9316201965161088
densenet121,model,external_test2,0.5,94,67,27,59,9,18,8,specificity,18.0,benign cases,27.0,0.6666666666666666,0.47824760507320074,0.8135673850128435,,,,,,0.48148148148148145,0.8148148148148148,0.5664868533277122,0.7537591212417728
densenet121,model,external_test2,0.5,94,67,27,59,9,18,8,ppv,59.0,test-positive cases,68.0,0.8676470588235294,0.7671994025434227,0.928777555897702,,,,,,0.8059701492537313,0.9272793148880105,0.7845317398481961,0.9218932040550798
densenet121,model,external_test2,0.5,94,67,27,59,9,18,8,npv,18.0,test-negative cases,26.0,0.6923076923076923,0.5001174167780164,0.8349868440453624,,,,,,0.5483870967741935,0.8462499999999995,0.5929938594570245,0.776520726584689
