cohort,subgroup,n,lesion_area_frac_range,n_malignant,n_benign,prevalence,AUC,AUC_95CI,sensitivity,specificity
Development/tuning (Center 1),small (T1),86,0.0063-0.0306,29,57,0.337,0.8494,0.762-0.926,0.7241,0.8596
Development/tuning (Center 1),medium (T2),85,0.0307-0.0558,51,34,0.6,0.8431,0.751-0.922,0.902,0.6765
Development/tuning (Center 1),large (T3),86,0.0564-0.1638,75,11,0.872,0.9648,0.913-0.999,0.9733,0.7273
External Test 1 (Center 2),small (T1),36,0.0026-0.0247,9,27,0.25,0.8642,0.720-0.967,0.4444,0.8519
External Test 1 (Center 2),medium (T2),36,0.0256-0.0581,22,14,0.611,0.8766,0.727-0.987,0.9091,0.7143
External Test 1 (Center 2),large (T3),36,0.0586-0.1749,31,5,0.861,0.6516,0.432-0.852,0.9677,0.2
External Test 2 (Center 3),small (T1),32,0.0038-0.0387,16,16,0.5,0.6992,0.508-0.867,0.5,0.875
External Test 2 (Center 3),medium (T2),31,0.0387-0.0742,22,9,0.71,0.9343,0.838-1.000,1.0,0.4444
External Test 2 (Center 3),large (T3),31,0.0764-0.2116,29,2,0.935,0.8793,0.724-1.000,1.0,0.0
