mask_variant,split,n_total,n_malignant,n_benign,auc_densenet121,auc_efficientnet_b1,auc_diff_densenet_minus_effb1,se_diff,z,delong_p_value,diff_95ci_lo,diff_95ci_hi
gt,train,600,352,248,0.9402149010263929,0.9783151576246334,-0.038100256598240456,0.00898622950948636,-4.239849044365017,2.2367015004441033e-05,-0.055712942793644755,-0.020487570402836157
gt,internal_val,257,155,102,0.9026565464895637,0.8586337760910816,0.044022770398482125,0.02160831041088839,2.0373073859721638,0.041619248147463005,0.0016712602263789789,0.08637428057058527
gt,external_test1,108,62,46,0.8783309957924262,0.8295932678821879,0.04873772791023834,0.0340584103674073,1.4310041891114984,0.1524290145430588,-0.018015529780565573,0.11549098560104225
gt,external_test2,94,67,27,0.877280265339967,0.8756218905472635,0.0016583747927034764,0.03803098722470065,0.04360588335257263,0.9652185619232249,-0.0728809904642127,0.07619774004961966
model,train,600,352,248,0.8607381781524928,0.9417613636363638,-0.081023185483871,0.013177843725028606,-6.148440304386377,7.824856607696918e-10,-0.10685128457882422,-0.05519508638891778
model,internal_val,257,155,102,0.9056293485135991,0.8524984187223277,0.05313092979127143,0.021792962910120308,2.4379856016089607,0.014769362271195957,0.010417507371018417,0.09584435221152444
model,external_test1,108,62,46,0.8892005610098176,0.8955119214586255,-0.006311360448807868,0.03129160396995054,-0.20169501233841175,0.8401551620471109,-0.06764177724840151,0.055019056350785765
model,external_test2,94,67,27,0.8645660585959092,0.7954671088999448,0.06909894969596442,0.04934551895370166,1.4003085013817846,0.1614209561560942,-0.027616490251729436,0.16581438964365827
