arch,split,case_ids_identical_across_variants,n_total,n_malignant,n_benign,threshold_gt,threshold_model,auc_gt,auc_model,auc_diff_model_minus_gt,auc_diff_delong_p,auc_diff_delong_95ci_lo,auc_diff_delong_95ci_hi,auprc_gt,auprc_model,accuracy_gt,accuracy_model,accuracy_diff_model_minus_gt,accuracy_denom_n_gt,accuracy_denom_n_model,accuracy_gt_wilson_lo,accuracy_gt_wilson_hi,accuracy_model_wilson_lo,accuracy_model_wilson_hi,sensitivity_gt,sensitivity_model,sensitivity_diff_model_minus_gt,sensitivity_denom_n_gt,sensitivity_denom_n_model,sensitivity_gt_wilson_lo,sensitivity_gt_wilson_hi,sensitivity_model_wilson_lo,sensitivity_model_wilson_hi,specificity_gt,specificity_model,specificity_diff_model_minus_gt,specificity_denom_n_gt,specificity_denom_n_model,specificity_gt_wilson_lo,specificity_gt_wilson_hi,specificity_model_wilson_lo,specificity_model_wilson_hi,ppv_gt,ppv_model,ppv_diff_model_minus_gt,ppv_denom_n_gt,ppv_denom_n_model,ppv_gt_wilson_lo,ppv_gt_wilson_hi,ppv_model_wilson_lo,ppv_model_wilson_hi,npv_gt,npv_model,npv_diff_model_minus_gt,npv_denom_n_gt,npv_denom_n_model,npv_gt_wilson_lo,npv_gt_wilson_hi,npv_model_wilson_lo,npv_model_wilson_hi,auc_diff_boot_lo,auc_diff_boot_hi,accuracy_diff_boot_lo,accuracy_diff_boot_hi,sensitivity_diff_boot_lo,sensitivity_diff_boot_hi,specificity_diff_boot_lo,specificity_diff_boot_hi,tp_gt,fp_gt,tn_gt,fn_gt,tp_model,fp_model,tn_model,fn_model
densenet121,train,True,600,352,248,0.548333,0.5,0.9402149010263929,0.8607381781524927,-0.07947672287390029,9.477920060086788e-13,-0.10129993192723064,-0.05765351382056971,0.9586983517150729,0.898676725578935,0.8666666666666667,0.7833333333333333,-0.08333333333333337,600,600,0.8371206082599051,0.8915474776633813,0.7486223270376837,0.8144393757212192,0.9403409090909091,0.8607954545454546,-0.07954545454545447,352,352,0.9105229401644365,0.9606515458760075,0.820723869000361,0.8930771614972931,0.7620967741935484,0.6733870967741935,-0.08870967741935487,248,248,0.7053587713561178,0.8108390008802528,0.6127613240869637,0.7287233560078662,0.8487179487179487,0.7890625,-0.0596554487179487,390,384,0.8097649843762078,0.8808682486370656,0.7454960241946053,0.8269028128844252,0.9,0.7731481481481481,-0.12685185185185188,210,216,0.8519683553183302,0.9336604040742433,0.7128098833209908,0.8239405578059602,-0.10110428885630496,-0.05854563782991197,-0.11166666666666669,-0.053333333333333344,-0.11363636363636365,-0.045454545454545414,-0.13709677419354838,-0.040322580645161255,331,59,189,21,303,81,167,49
densenet121,internal_val,True,257,155,102,0.548333,0.5,0.9026565464895635,0.905629348513599,0.0029728020240354924,0.8898722124753222,-0.03910676135436305,0.04505236540243381,0.9268780429744485,0.9330994787403784,0.8599221789883269,0.8560311284046692,-0.0038910505836576847,257,257,0.812170696239278,0.8970723851190864,0.8078634758967922,0.8937121126901302,0.9354838709677419,0.9032258064516129,-0.032258064516129004,155,155,0.8853221143360734,0.964581940954635,0.8464739490540437,0.9404742502892048,0.7450980392156863,0.7843137254901961,0.039215686274509776,102,102,0.6527012596010672,0.8197034158173332,0.6949614254678732,0.8530279980174712,0.847953216374269,0.8641975308641975,0.01624431448992847,171,162,0.7865389175839125,0.894077686753841,0.8029444927922917,0.9085784330134938,0.8837209302325582,0.8421052631578947,-0.041615667074663465,86,95,0.7990278882092989,0.9355995417807128,0.7557039468613879,0.9019148375589726,-0.04067204301075278,0.04598513598987974,-0.054474708171206254,0.046692607003890996,-0.0903225806451613,0.02580645161290329,-0.04901960784313719,0.12745098039215685,145,26,76,10,140,22,80,15
densenet121,external_test1,True,108,62,46,0.548333,0.5,0.8783309957924264,0.8892005610098177,0.010869565217391353,0.707609889892891,-0.04593068423905344,0.06766981467383615,0.9076275210131661,0.9095791903064644,0.7870370370370371,0.8148148148148148,0.02777777777777768,108,108,0.7006656475723132,0.853690497758367,0.7312030524810644,0.8768004617525846,0.9032258064516129,0.8709677419354839,-0.032258064516129004,62,62,0.8045118138769257,0.9548881279768061,0.7655067270982637,0.9331412194071697,0.6304347826086957,0.7391304347826086,0.10869565217391297,46,46,0.48600096423389705,0.7547624540916037,0.597408464719844,0.843991135543574,0.7671232876712328,0.8181818181818182,0.0510585305105854,73,66,0.6583273395609572,0.8492111767366657,0.7085480732292817,0.8928139359439193,0.8285714285714286,0.8095238095238095,-0.01904761904761909,35,42,0.6731771770095504,0.9189735994629841,0.6669922598996131,0.9001799171835226,-0.047352734922861246,0.0718793828892006,-0.04629629629629628,0.10185185185185186,-0.11290322580645162,0.032258064516129115,-0.021739130434782594,0.2391304347826087,56,17,29,6,54,12,34,8
densenet121,external_test2,True,94,67,27,0.548333,0.5,0.8772802653399668,0.8645660585959093,-0.012714206744057543,0.6945224725429372,-0.07616668883038577,0.05073827534227024,0.9524891550856232,0.9449476600029101,0.8085106382978723,0.8191489361702128,0.010638297872340496,94,94,0.7174971706384233,0.8752985695221128,0.7293303791966494,0.8839065933832155,0.9402985074626866,0.8805970149253731,-0.059701492537313494,67,67,0.8563049895862846,0.9765406488601809,0.7816797416192777,0.9382376746649551,0.48148148148148145,0.6666666666666666,0.18518518518518517,27,27,0.3074322697621846,0.6601438424504771,0.47824760507320074,0.8135673850128435,0.8181818181818182,0.8676470588235294,0.049465240641711206,77,68,0.7176371712788386,0.8884874671777944,0.7671994025434227,0.928777555897702,0.7647058823529411,0.6923076923076923,-0.07239819004524883,17,26,0.5273820188043501,0.9044495567791988,0.5001174167780164,0.8349868440453624,-0.0790630182421228,0.05418739635157546,-0.07446808510638292,0.08510638297872342,-0.14925373134328357,0.014925373134328401,0.0,0.37037037037037035,63,14,13,4,59,9,18,8
