mask_variant,split,accuracy_used_max_acc,accuracy_youden,accuracy_delta_youden_minus_used,accuracy_fixed05,sensitivity_used_max_acc,sensitivity_youden,sensitivity_delta_youden_minus_used,sensitivity_fixed05,specificity_used_max_acc,specificity_youden,specificity_delta_youden_minus_used,specificity_fixed05
gt,train,0.8666666666666667,0.8666666666666667,0.0,0.865,0.9403409090909091,0.9403409090909091,0.0,0.9488636363636364,0.7620967741935484,0.7620967741935484,0.0,0.7459677419354839
gt,internal_val,0.8599221789883269,0.8599221789883269,0.0,0.8404669260700389,0.9354838709677419,0.9354838709677419,0.0,0.9419354838709677,0.7450980392156863,0.7450980392156863,0.0,0.6862745098039216
gt,external_test1,0.7870370370370371,0.7870370370370371,0.0,0.7962962962962963,0.9032258064516129,0.9032258064516129,0.0,0.9193548387096774,0.6304347826086957,0.6304347826086957,0.0,0.6304347826086957
gt,external_test2,0.8085106382978723,0.8085106382978723,0.0,0.7978723404255319,0.9402985074626866,0.9402985074626866,0.0,0.9402985074626866,0.48148148148148145,0.48148148148148145,0.0,0.4444444444444444
model,train,0.7833333333333333,0.7833333333333333,0.0,0.7833333333333333,0.8607954545454546,0.8607954545454546,0.0,0.8607954545454546,0.6733870967741935,0.6733870967741935,0.0,0.6733870967741935
model,internal_val,0.8560311284046692,0.8560311284046692,0.0,0.8560311284046692,0.9032258064516129,0.9032258064516129,0.0,0.9032258064516129,0.7843137254901961,0.7843137254901961,0.0,0.7843137254901961
model,external_test1,0.8148148148148148,0.8148148148148148,0.0,0.8148148148148148,0.8709677419354839,0.8709677419354839,0.0,0.8709677419354839,0.7391304347826086,0.7391304347826086,0.0,0.7391304347826086
model,external_test2,0.8191489361702128,0.8191489361702128,0.0,0.8191489361702128,0.8805970149253731,0.8805970149253731,0.0,0.8805970149253731,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666
